data,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
2009-04-30,115.75,143.33333333333334,147.25,165.4375,143.7625,127.55,129.85416666666666,181.35416666666666,195.5,201.8125,172.625,159.8125,162.5,163.70833333333334,235.5,218.140625,345.03125,224.25,267.125,68.2
2009-05-31,31.1875,33.208333333333336,27.28125,16.291666666666668,20.55,27.7,26.833333333333332,12.041666666666666,23.5625,20.9375,15.625,12.75,14.791666666666666,25.25,20.291666666666668,16.90625,20.1875,15.875,17.5625,10.0
2009-06-30,48.0625,37.958333333333336,40.5625,39.708333333333336,40.4,38.25,38.208333333333336,40.833333333333336,30.6875,26.25,28.0,38.5,40.458333333333336,38.125,33.083333333333336,23.3125,22.625,21.6875,25.125,0.0
2009-07-31,1.1875,0.375,0.0,0.0,0.0,0.225,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.125,0.0,0.0,0.0,6.7
2009-08-31,66.875,68.25,43.625,45.958333333333336,61.35,62.9,63.875,36.75,64.875,76.3125,47.6875,49.75,55.666666666666664,68.29166666666667,62.375,68.28125,72.4375,70.1875,78.375,57.5
2009-09-30,36.5625,43.708333333333336,41.4375,43.208333333333336,42.9,45.35,54.541666666666664,48.416666666666664,65.9375,73.375,63.375,56.625,60.125,58.416666666666664,56.125,64.59375,61.1875,62.375,66.75,86.9
2009-10-31,94.25,112.83333333333333,126.90625,168.625,155.275,123.15,128.04166666666666,158.58333333333334,168.9375,186.8125,181.6875,168.75,178.41666666666666,171.33333333333334,174.95833333333334,199.34375,212.75,202.125,262.0625,122.5
2009-11-30,341.78125,320.8958333333333,238.4375,234.97916666666666,201.0875,214.15,214.10416666666666,262.0,273.90625,280.5625,355.0,278.8125,285.0,262.1875,269.0833333333333,285.21875,288.25,272.71875,281.78125,117.4
2009-12-31,305.40625,313.9791666666667,335.859375,308.375,350.3625,333.4,355.4166666666667,341.7708333333333,350.3125,330.53125,351.90625,313.75,324.9375,350.5416666666667,307.5416666666667,350.921875,350.09375,349.09375,339.25,195.3
2010-01-31,217.90625,214.77083333333334,148.625,199.4375,180.65,173.975,204.75,246.52083333333334,356.15625,383.78125,305.875,250.25,247.39583333333334,254.39583333333334,334.0208333333333,335.359375,285.8125,365.15625,386.34375,367.8
2010-02-28,139.46875,89.97916666666667,38.203125,104.02083333333333,51.8375,64.8875,69.95833333333333,131.16666666666666,125.8125,276.4375,132.90625,124.5625,132.45833333333334,94.52083333333333,216.75,164.640625,213.28125,145.90625,181.59375,271.5
2010-03-31,189.125,227.95833333333334,265.21875,208.79166666666666,261.45,303.35,298.5416666666667,185.375,233.375,199.5,169.5,188.25,163.20833333333334,186.33333333333334,182.16666666666666,176.71875,173.1875,207.5625,232.75,167.8
2010-04-30,43.5625,47.75,45.859375,62.083333333333336,48.5125,51.4125,56.166666666666664,50.041666666666664,64.75,61.78125,50.875,47.4375,50.958333333333336,60.125,72.9375,60.265625,82.71875,55.6875,76.4375,0.0
2010-05-31,5.75,3.3333333333333335,0.59375,1.875,0.825,0.675,1.9583333333333333,3.2916666666666665,1.8125,2.8125,3.1875,2.5,3.625,3.375,1.9583333333333333,5.53125,6.1875,8.125,4.6875,0.0
2010-06-30,6.75,11.875,12.25,22.458333333333332,17.725,13.4,17.833333333333332,15.083333333333334,20.5,17.625,15.3125,14.375,22.833333333333332,23.208333333333332,4.875,9.71875,4.5,8.4375,7.75,0.0
2010-07-31,0.6875,1.0833333333333333,0.84375,1.1666666666666667,1.1,1.0,1.25,1.5416666666666667,5.4375,3.6875,2.375,2.0,1.4583333333333333,1.375,10.833333333333334,3.53125,9.9375,3.25,6.4375,0.0
2010-08-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
